farmerId,name,gender,mobile,state,dob,fathersName,farmerType,landType,landArea,balance,category,userType,equityAmount,equityShares,totalAmount,farmerProduct,DateOfJoining
F001,John Doe,male,9876543210,Example State,1990-05-20,Michael Doe,small,leased,2,5000,general,farmer,10000,10,100000,Grains,2024-04-01
F002,Jane Doe,female,1234567890,Sample State,1988-10-15,Jennifer Doe,large,owned,5,8000,general,shareholder,15000,15,150000,Vegetables,2024-04-01
F003,Alice Smith,female,7890123456,Test State,1992-07-10,David Smith,medium,leased,3,6000,general,farmer,12000,12,120000,Fruits,2024-04-01
F004,Michael Johnson,male,5678901234,Example State,1985-03-25,James Johnson,small,leased,4,5500,general,farmer,11000,11,110000,Grains,2024-04-01
F005,Emily Brown,female,4567890123,Sample State,1995-12-05,Robert Brown,large,owned,6,7000,general,shareholder,16000,16,160000,Vegetables,2024-04-01
F006,David Wilson,male,3456789012,Test State,1980-08-12,William Wilson,medium,leased,2.5,4500,general,farmer,9000,9,90000,Fruits,2024-04-01
F007,Sarah Taylor,female,2345678901,Example State,1983-11-18,Christopher Taylor,small,leased,3.5,6200,general,shareholder,13000,13,130000,Grains,2024-04-01
F008,Matthew Martinez,male,1234567890,Sample State,1998-04-30,Anthony Martinez,large,owned,7,7200,general,farmer,14000,14,140000,Vegetables,2024-04-01
F009,Olivia Anderson,female,0123456789,Test State,1993-09-22,William Anderson,medium,leased,2,5000,general,shareholder,10000,10,100000,Fruits,2024-04-01
F010,Emma Garcia,female,9012345678,Example State,1991-02-14,Joseph Garcia,small,leased,4.5,5500,general,farmer,11000,11,110000,Grains,2024-04-01
F011,William Clark,male,8901234567,Sample State,1986-06-28,Christopher Clark,large,owned,5.5,6500,general,shareholder,12000,12,120000,Vegetables,2024-04-01
F012,Isabella Lewis,female,7890123456,Test State,1994-01-10,Robert Lewis,medium,leased,3,6000,general,farmer,13000,13,130000,Fruits,2024-04-01
F013,Ethan Martinez,male,6789012345,Example State,1989-08-08,David Martinez,small,leased,2.5,4500,general,shareholder,8000,8,80000,Grains,2024-04-01
F014,Oliver Hill,male,5678901234,Sample State,1997-03-17,James Hill,large,owned,6.5,7000,general,farmer,15000,15,150000,Vegetables,2024-04-01
F015,Charlotte Young,female,4567890123,Test State,1984-10-03,Michael Young,medium,leased,2.5,5500,general,shareholder,12000,12,120000,Fruits,2024-04-01
F016,Mason Allen,male,3456789012,Example State,1996-05-27,William Allen,small,leased,3,6500,general,farmer,13000,13,130000,Grains,2024-04-01
F017,Amelia Hernandez,female,2345678901,Sample State,1982-12-12,Jose Hernandez,large,owned,5,6000,general,shareholder,14000,14,140000,Vegetables,2024-04-01
F018,Lucas Carter,male,1234567890,Test State,1990-09-06,Michael Carter,medium,leased,3.5,7000,general,farmer,15000,15,150000,Fruits,2024-04-01
F019,Ella Adams,female,0123456789,Example State,1987-04-23,James Adams,small,leased,2,550
